formula,source_database,source_id,source_url,matched_formula,formation_energy,energy_above_hull,band_gap,spacegroup,data_status,pearson_symbol
TiN,OQMD,307045,http://oqmd.org/materials/entry/307045,TiN,-0.958777449564884,0.855505125000001,0.0,Pm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiN,OQMD,338587,http://oqmd.org/materials/entry/338587,TiN,-0.840482309564885,0.973800265,0.0,P4/mmm,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiN,OQMD,1106230,http://oqmd.org/materials/entry/1106230,TiN,-1.81425399956488,2.857500000486013e-05,0.0,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiN,OQMD,1108210,http://oqmd.org/materials/entry/1108210,TiN,-1.22895540831489,0.585327166249995,0.0,Pmma,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiN,OQMD,1221251,http://oqmd.org/materials/entry/1221251,TiN,-0.958966469564885,0.855316105,0.0,Pmma,OQMD REST API 候选条目，需人工复核结构与公式匹配,
CrN,OQMD,6912,http://oqmd.org/materials/entry/6912,CrN,-0.437865702671752,0.1803995150000015,0.0,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
CrN,OQMD,22276,http://oqmd.org/materials/entry/22276,CrN,-0.567263862671753,0.0510013550000005,0.0,F-43m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
CrN,OQMD,305323,http://oqmd.org/materials/entry/305323,CrN,0.0574244323282471,0.6756896500000007,0.0,Pm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
CrN,OQMD,326407,http://oqmd.org/materials/entry/326407,CrN,-0.437012332671753,0.1812528850000005,0.0,R-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
CrN,OQMD,336865,http://oqmd.org/materials/entry/336865,CrN,0.104221807328248,0.7224870250000016,0.0,P4/mmm,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Al2O3,OQMD,14842,http://oqmd.org/materials/entry/14842,Al2O3,-3.25358295452725,0.0114830729999999,4.845,C2/m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Al2O3,OQMD,20393,http://oqmd.org/materials/entry/20393,Al2O3,-2.98481908552725,0.2802469419999998,4.722,Cmcm,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Al2O3,OQMD,21959,http://oqmd.org/materials/entry/21959,Al2O3,-3.17539857752725,0.0896674499999998,4.916,P1,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Al2O3,OQMD,353709,http://oqmd.org/materials/entry/353709,Al2O3,-2.07939081952725,1.1856752079999997,0.0,Pm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Al2O3,OQMD,21554,http://oqmd.org/materials/entry/21554,Al2O3,-3.14775106002725,0.1173149675,6.194,Pbcn,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Cr2O3,OQMD,4848,http://oqmd.org/materials/entry/4848,Cr2O3,-2.48172841523096,0.0041373389999996,,R-3c,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Cr2O3,OQMD,643021,http://oqmd.org/materials/entry/643021,Cr2O3,-2.48128167523096,0.0045840789999997,2.383,R-3c,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Cr2O3,OQMD,353850,http://oqmd.org/materials/entry/353850,Cr2O3,-1.63618803923096,0.8496777149999999,0.0,Pm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Cr2O3,OQMD,678199,http://oqmd.org/materials/entry/678199,Cr2O3,-2.48012255523096,0.0057431989999998,2.404,R-3,OQMD REST API 候选条目，需人工复核结构与公式匹配,
Cr2O3,OQMD,1277483,http://oqmd.org/materials/entry/1277483,Cr2O3,-2.09904352435596,0.3868222298749999,0.0,Ia-3d,OQMD REST API 候选条目，需人工复核结构与公式匹配,
ZrO2,OQMD,17899,http://oqmd.org/materials/entry/17899,ZrO2,-3.5646174672525,0.06836496333334,3.344,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
ZrO2,OQMD,12228,http://oqmd.org/materials/entry/12228,ZrO2,-3.6109212097525,0.0220612208333399,4.092,Pca21,OQMD REST API 候选条目，需人工复核结构与公式匹配,
ZrO2,OQMD,3278,http://oqmd.org/materials/entry/3278,ZrO2,-3.63298243058584,0.0,3.843,P21/c,OQMD REST API 候选条目，需人工复核结构与公式匹配,
ZrO2,OQMD,10208,http://oqmd.org/materials/entry/10208,ZrO2,-3.52991433808584,0.1030680925,3.176,Pnma,OQMD REST API 候选条目，需人工复核结构与公式匹配,
ZrO2,OQMD,646648,http://oqmd.org/materials/entry/646648,ZrO2,-3.59598821058584,0.0369942199999999,4.03,P42/nmc,OQMD REST API 候选条目，需人工复核结构与公式匹配,
SiC,OQMD,22472,http://oqmd.org/materials/entry/22472,SiC,0.53431968375,0.7432248316666671,0.0,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
SiC,OQMD,4566,http://oqmd.org/materials/entry/4566,SiC,-0.20822938625,0.0006757616666669,1.586,F-43m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
SiC,OQMD,4580,http://oqmd.org/materials/entry/4580,SiC,-0.20532989375,0.003575254166667,2.501,P63mc,OQMD REST API 候选条目，需人工复核结构与公式匹配,
SiC,OQMD,20901,http://oqmd.org/materials/entry/20901,SiC,-0.20888580375,1.9344166667017992e-05,2.333,P63mc,OQMD REST API 候选条目，需人工复核结构与公式匹配,
SiC,OQMD,18548,http://oqmd.org/materials/entry/18548,SiC,-0.20797218125,0.000932966666667,1.946,P3m1,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiC,OQMD,1949,http://oqmd.org/materials/entry/1949,TiC,-0.804124935643131,4.50499999993248e-06,0.0,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiC,OQMD,304686,http://oqmd.org/materials/entry/304686,TiC,0.33022492435687,1.134354365000001,0.0,Pm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiC,OQMD,325770,http://oqmd.org/materials/entry/325770,TiC,-0.804129440643131,0.0,0.0,R-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiC,OQMD,336228,http://oqmd.org/materials/entry/336228,TiC,0.307504344356868,1.111633784999999,0.0,P4/mmm,OQMD REST API 候选条目，需人工复核结构与公式匹配,
TiC,OQMD,1103872,http://oqmd.org/materials/entry/1103872,TiC,-0.80407920064313,5.024000000097839e-05,0.0,Fm-3m,OQMD REST API 候选条目，需人工复核结构与公式匹配,
