"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"运输船","2181-02-06 00:00:00.0","荣成华东渔业有限公司","西南大西洋印度洋北太平洋东南太平洋","3000.00","荣成华东渔业有限公司","4600.00",,"中国","鲁荣远渔运177"
"拖网","2187-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔987"
"延绳钓","2177-12-11 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","243",,"中国","鲁荣远渔211"
"拖网","2192-09-04 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔976"
"鱿鱼钓","2191-11-08 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","1540.00","荣成市荣远渔业有限公司","1531.00",,"中国","鲁荣远渔178"
"渔业辅助船","0171-11-06 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋","3000.00","荣成市海洋渔业有限公司","5000.00",,"中国","鲁荣远渔运668"
"金枪鱼延绳钓","2191-04-01 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","540","威海昌和渔业有限公司","190",,"中国","荣大洋8"
"拖网","0171-12-01 00:00:00.0","荣成市远洋渔业有限公司","尼日利亚","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔218"
"运输船","2195-01-12 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋公海","2206","山东蓝越远洋渔业有限公司","2244",,"中国","鲁荣远渔运178"
"拖网船","2183-09-11 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔969"
"围网","2187-03-09 00:00:00.0","荣成市恒隆渔业有限公司","印度洋公海","1110","荣成市恒隆渔业有限公司","383",,"中国","鲁荣远渔902"
"拖网船","2180-09-05 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔916"
"延绳钓","0175-09-10 00:00:00.0","山东俚岛海洋科技股份有限公司","太平洋公海","828.00","山东俚岛海洋科技股份有限公司","307.00",,"中国","鲁荣远渔138"
"鱿鱼钓","2199-04-07 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔833"
"拖网船","0173-09-06 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔919"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔879"
"金枪鱼延绳钓","2181-09-05 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔288"
"灯光围网","2195-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔115"
"围网","2192-03-07 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1155","荣成市荣远渔业有限公司","899",,"中国","鲁荣远渔301"
"金枪钓","0168-09-02 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔758"
"拖网","2188-09-03 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔505"
"鱿鱼钓","2188-01-11 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔606"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔515"
"延绳钓","2178-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","255",,"中国","中荣 33"
"秋刀鱼捕捞船","2186-09-12 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1624",,"中国","鲁文远渔171"
"灯光围网","0174-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔811"
"延绳钓","2193-04-05 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔30"
"鱿钓","2186-01-09 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋","1800","荣成市赤山远洋渔业有限公司","1500",,"中国","鲁荣远渔709"
"鱿鱼钓","0175-07-06 00:00:00.0","威海市环海水产有限公司","西南大西洋及东南太平洋公海","1104","威海市环海水产有限公司","1066",,"中国","鲁威远渔018"
"灯光围网","2180-09-05 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔817"
"金枪钓","0168-09-02 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔769"
"金枪鱼延绳钓","2188-10-04 00:00:00.0","荣成市远洋渔业有限公司","中西部太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔317"
"渔业辅助船","0171-11-06 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋","2206.00","荣成市海洋渔业有限公司","2225.00",,"中国","鲁荣远渔运998"
"延绳钓","0175-09-10 00:00:00.0","山东俚岛海洋科技股份有限公司","太平洋公海","828.00","山东俚岛海洋科技股份有限公司","307.00",,"中国","鲁荣远渔136"
